Ranking,Start Date,Concert Name,Bands,Venue,Location,Rating,Paid,Discount
2,01/13/2024,Pool Sounds v3,Lady Bird / Max Niemann / Jacob Slade / Maximiano / Jack Eyke,Pool Studios,"Milwaukee, Wisconsin, United States",5,1,
56,01/18/2024,An Evening With MEG MYERS Acoustic,Meg Myers,The Rave,"Milwaukee, Wisconsin, United States",3,0,Rave Contest
28,02/03/2024,State of Sound,Wave Chapelle / Dak Dubois / Scam Likely / Sleepy Groucho,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States",4,1,
1,02/08/2024,,Willi Carlisle / Golden Shoals,Cactus Club,"Milwaukee, Wisconsin, United States",5,1,
50,02/09/2024,,Abraham Alexander / Black Violin,Marcus Center for the Performing Arts,"Milwaukee, Wisconsin, United States",3.5,0,Ushered
43,02/12/2024,Ultrapure Tour,Briston Maroney / Phoebe Go,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",3.5,0,Street Team
47,02/20/2024,Vivarium First Look,Wave Chapelle / ADORNER,Vivarium,"Milwaukee, Wisconsin, United States",3.5,0,Street Team
33,02/22/2024,The Lovesick Tour / Vivarium Grand Opening,Molly Grace / The Wonderlands (US),Vivarium,"Milwaukee, Wisconsin, United States",4,0,Street Team
45,03/01/2024,,Diet Lite / Motel Breakfast / Ladybird,Vivarium,"Milwaukee, Wisconsin, United States",3.5,0,Street Team
52,03/02/2024,,Cat Power,Pabst Theater,"Milwaukee, Wisconsin, United States",3,0,Street Team
25,03/07/2024,,Max Niemann and the Fellow Traveles / Jacob Slade / Holy Pinto,Linneman's Riverwest Inn,"Milwaukee, Wisconsin, United States",4.5,1,
11,03/16/2024,,Grouplove / Bully,Riviera Theatre,"Chicago, Illinois, United States",4.5,1,
30,03/27/2024,Sun June / Wild Pink at Vivarium,Sun June / Wild Pink / Sinai Vessel,Vivarium,"Milwaukee, Wisconsin, United States",4,0,Street Team
3,03/31/2024,"Barely Civil ""I'd Say I'm Not Fine"" Record Release",Barely Civil / Magazine Beach / Overhand / Known Moons,Cactus Club,"Milwaukee, Wisconsin, United States",5,1,
41,04/05/2024,Studio Milwaukee Session,eliza mclamb,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States",4,0,88nine Member
