LongTerm_Start Date,LongTerm_Bands,LongTerm_Venue,LongTerm_Location
2025-02-22,"Barely Civil, Wave Chapelle, Caley Conway, 2hi",Amorphic Beer,"Milwaukee, Wisconsin, United States"
2025-01-29,"Almost Monday, Adrian Lyles",Vivarium,"Milwaukee, Wisconsin, United States"
2025-01-24,"Beach Bunny, Delaney Bailey",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2025-01-23,"Orillia, Poor Ridley, Maximiano",Sugar Maple,"Milwaukee, Wisconsin, United States"
2024-12-26,"Johanna Rose, Ellie Jackson, Bitch Creek",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-11-13,"Modest Mouse, The Black Heart Procession",The Riverside Theater,"Milwaukee, Wisconsin, United States"
2024-11-09,"Haley Heynderickx, Lily Breshears",Vivarium,"Milwaukee, Wisconsin, United States"
2024-11-02,"The Menzingers, Direct Hit!, Holy Pinto",The Rave,"Milwaukee, Wisconsin, United States"
2024-10-24,"The Nunnery, Dosh, Luke Callen, Maximiano, Jesse Walkers Hitch",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-10-18,Jacob Slade,Riverwalk Commons,"Milwaukee, Wisconsin, United States"
2024-10-11,"Horseshoes & Hand Grenades, Ladybird",Pabst Theater,"Milwaukee, Wisconsin, United States"
2024-10-04,Yard Act,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
2024-10-04,"Marika Hackman, Art School Girlfriend",Vivarium,"Milwaukee, Wisconsin, United States"
2024-09-29,"Kaitlin Butts, Angel White",Vivarium,"Milwaukee, Wisconsin, United States"
2024-09-22,"A.A. Williams, Jorge Vallentine",X-Ray Arcade,"Milwaukee, Wisconsin, United States"
2024-09-20,"Dessa, Wave Chapelle",Vivarium,"Milwaukee, Wisconsin, United States"
2024-09-17,"Arlo Parks, Social Cig",The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
2024-09-14,"Charlie Bliss, Raffaella",X-Ray Arcade,"Cudahy, Wisconsin, United States"
2024-09-07,"Maximiano, Long Mama, King Courteen",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-09-04,"Silversun Pickups, Speedy Ortiz",The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
2024-08-23,Maggie Rose,Vivarium,"Milwaukee, Wisconsin, United States"
2024-08-22,"Lindsey Stirling, Walk Off The Earth",Miller High Life Theatre,"Milwaukee, Wisconsin, United States"
2024-08-21,Talib Kweli,"Peck Pavilion, Marcus Center for the Performing Arts","Milwaukee, Wisconsin, United States"
2024-08-17,"Reyna, Vic and Gab, Eliza Hanson",Vivarium,"Milwaukee, Wisconsin, United States"
2024-08-07,Bats,Cactus Club,"Milwaukee, Wisconsin, United States"
2024-08-02,"J.E. Sunde, Caley Conway",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-08-01,Ra Ra Riot,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
2024-08-01,"Katy Kirby, Mei Semones, Maximiano",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-07-31,Max Niemann and the Fellow Traveles,Humboldt Park,"Milwaukee, Wisconsin, United States"
2024-07-06,"Chase Rice, Amy Grant, Extreme, BoDeans, Sister Hazel, Living Colour, Cracker, Uprooted Feat. Michael Glabicki, Anne Wilson, Ashland Craft, Seaforth, Giacomo Turra, Tim Montana, Josh Morgan, Me Like Bees, Cold War Kids, Fillmore East",Summerfest,"Milwaukee, Wisconsin, United States"
2024-07-05,Local Natives,Summerfest,"Milwaukee, Wisconsin, United States"
2024-07-04,"Wave Chapelle, Ellie Jackson, Reyna, Say She She",Summerfest Grounds at Henry Maier Festival Park-M & I Bank Classic Rock Stage,"Milwaukee, Wisconsin, United States"
2024-06-27,"Alison Wonderland, Ken Carson, Sleater-Kinney, Boys Like Girls, St. Paul and The Broken Bones, K camp, Hawthorne Heights, Anberlin, Brigitte Calls Me Baby, Ian Asher, Briscoe, Millyz, grouptherapy., Clip, J Stone, Tracy Bonham, Cedric Burnside, McKinley Dixon, Bassel & the Supernaturals, ILLENIUM",Henry Maier Festival Park,"Milwaukee, Wisconsin, United States"
2024-06-21,"Charlotte Cardin, Taylor Bennett",Summerfest Grounds at Henry Maier Festival Park,"Milwaukee, Wisconsin, United States"
2024-06-14,"Iron & Wine, Ken Pomeroy",Pabst Theater,"Milwaukee, Wisconsin, United States"
2024-06-13,Gregory Allen Isakov,Miller High Life Theatre,"Milwaukee, Wisconsin, United States"
2024-06-12,"Wilco, Cut Worms",The Riverside Theater,"Milwaukee, Wisconsin, United States"
2024-06-03,"Camera Obscura, Photo Ops",Thalia Hall,"Chicago, Illinois, United States"
2024-05-07,"Belle and Sebastian, Haley Henderickx",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2024-05-01,"Durry, Lunar Moth",Vivarium,"Milwaukee, Wisconsin, United States"
2024-04-27,"Sierra Ferrell, Cat Clyde",The Riverside Theater,"Milwaukee, Wisconsin, United States"
2024-04-22,"Alvvays, Spllit",Pabst Theater,"Milwaukee, Wisconsin, United States"
2024-04-20,Friko,Liliput Records,"Milwaukee, Wisconsin, United States"
2024-04-20,"Saint Motel, Gibbz",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2024-04-10,"The Mountain Goats, Katy Kirby",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2024-04-08,"Real Estate, Marina Allen",Vivarium,"Milwaukee, Wisconsin, United States"
2024-04-06,We Are the Willows,Paradigm Coffee,"Sheboygan, Wisconsin, United States"
2024-04-05,eliza mclamb,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
2024-04-05,"The Last Dinner Party, Miss Grit",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2024-03-31,"Barely Civil, Magazine Beach, Overhand, Known Moons",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-03-27,"Sun June, Wild Pink, Sinai Vessel",Vivarium,"Milwaukee, Wisconsin, United States"
2024-03-16,"Grouplove, Bully",Riviera Theatre,"Chicago, Illinois, United States"
2024-03-07,"Max Niemann and the Fellow Traveles, Jacob Slade, Holy Pinto",Linneman's Riverwest Inn,"Milwaukee, Wisconsin, United States"
2024-03-02,Cat Power,Pabst Theater,"Milwaukee, Wisconsin, United States"
2024-03-01,"Diet Lite, Motel Breakfast, Ladybird",Vivarium,"Milwaukee, Wisconsin, United States"
2024-02-22,"Molly Grace, The Wonderlands (US)",Vivarium,"Milwaukee, Wisconsin, United States"
2024-02-20,"Wave Chapelle, ADORNER",Vivarium,"Milwaukee, Wisconsin, United States"
2024-02-12,"Briston Maroney, Phoebe Go",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2024-02-09,"Abraham Alexander, Black Violin",Marcus Center for the Performing Arts,"Milwaukee, Wisconsin, United States"
2024-02-08,"Willi Carlisle, Golden Shoals",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-02-03,"Wave Chapelle, Dak Dubois, Scam Likely, Sleepy Groucho",88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
2024-01-27,Cécile McLorin Salvante,Marcus Performing Arts Center,"Milwaukee, Wisconsin, United States"
2024-01-18,Meg Myers,The Rave,"Milwaukee, Wisconsin, United States"
2024-01-13,"Lady Bird, Max Niemann, Jacob Slade, Maximiano, Jack Eyke",Pool Studios,"Milwaukee, Wisconsin, United States"
2023-12-28,"Trapper Schoepp, Nick Maas, Cabin Essence",Anodyne Coffee Roasting - Walker's Point Roastery,"Milwaukee, Wisconsin, United States"
2023-12-21,"Blacktop, Andii, Maximiano",Linneman's Riverwest Inn,"Milwaukee, Wisconsin, United States"
2023-12-09,Atsuko Okatsuka,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2023-11-30,"Angel Olsen, Kara Jackson",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2023-11-11,"Wave Chapelle, Emmit James, Micah Emrich, Duwayne, Dak Dubois",The Cooperage,"Milwaukee, Wisconsin, United States"
2023-10-29,"A. Savage, Max Niemann",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-10-26,Darlingside,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-10-20,This Is The Kit,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
2023-10-18,"Nation of Language, Miss Grit",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2023-10-14,"Jacob Slade, Sleepy Gaucho, Smushie",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-10-07,"Ratboys, Free Range",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-09-23,Jacob Slade,House Show,"Milwaukee, Wisconsin, United States"
2023-09-20,"The Front Bottoms, Vundabar",The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
2023-09-05,"Claud, Clementine, Barely Civil",X-Ray Arcade,"Cudahy, Wisconsin, United States"
2023-08-25,"The Righteous Babes, Gracie and Rachel, Holly Miranda, Jocelyn Mackenzie",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-08-23,"Fontaines D.C., Been Stellar",The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
2023-08-22,Tim Heidecker,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2023-08-19,"Local Natives, Annika Bennett",Pabst Theater,"Milwaukee, Wisconsin, United States"
2023-08-15,"Jimmy Eat World, Manchester Orchestra, Middle Kids","Eagles Ballroom, The Rave/Eagles Club","Milwaukee, Wisconsin, United States"
2023-08-06,"Katy Kirby, Lutalo, King Courteen",Cactus Club,"Milwaukee, Wisconsin, United States"
2023-08-05,JR JR,The Loving Touch,"Ferndale, Michigan, United States"
2023-06-30,Cullah,Summerfest,"Milwaukee, Wisconsin, United States"
2023-06-29,"David Lopez, LAKE",Bremen Cafe,"Milwaukee, Wisconsin, United States"
2023-06-26,"Adi Oasis, Phillip-Michael Scales",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-06-23,Haiku Hands,Cactus Club,"Milwaukee, Wisconsin, United States"
2023-06-21,"Counting Crows, Dashboard Confessional",Miller High Life Theatre,"Milwaukee, Wisconsin, United States"
2023-06-16,"Cullah, Revivalists",Anodyne Coffee Roasting - Walker's Point Roastery,"Milwaukee, Wisconsin, United States"
2023-06-15,Meshell Ndegeocello,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2023-06-10,"Chance the Rapper, T-Pain, Afroman, Bow Wow, tobi lou, Lil Scrappy, Taylor Bennett, DJ Paul, Ambre, Young Ca$h, Seddy Hendrinx, LaRussell, NandoSTL, DJay Mando, Chayo Nash",The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
2023-06-07,Samia,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
2023-05-26,"Emmitt James, NilexNile, Spider Creek, AC the Ruler",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-05-24,"Fenne Lily, Christian Lee Hutson, Work Wife",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-05-23,Ondara,Shank Hall,"Milwaukee, Wisconsin, United States"
2023-05-18,"David Wax Museum, Jacob Slade",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-05-08,"half•alive, Tessa Violet, Dev Lemons",The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
2023-05-06,"Wave Chapelle, Eli $tone, 2hi, NilexNile",Exhibit Clothing Store,"Milwaukee, Wisconsin, United States"
2023-05-01,Overcoats,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-04-22,Caroline Rose,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2023-04-04,"Lucius, Danielle Ponder",Turner Hall ,"Milwaukee, Wisconsin, United States"
2023-03-22,"Willi Carlisle, Willy Tea Taylor",Shank Hall,"Milwaukee, Wisconsin, United States"
2023-03-04,"The Collection, Mom Rock",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-02-11,"Bella White, Jack Schneider",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2023-02-09,"Immortal Girlfriend, Florentine Opera",The Cooperage,"Milwaukee, Wisconsin, United States"
2023-01-07,The Nunnery,Eau Claire Masonic Temple,"Eau Claire, Wisconsin, United States"
2022-12-23,Cullah,Anodyne Coffee Roasting - Walker's Point Roastery,"Milwaukee, Wisconsin, United States"
2022-12-16,Nikki Lane,Shank Hall,"Milwaukee, Wisconsin, United States"
2022-11-11,We Are the Willows,Anodyne Coffee Roasting - Walker's Point Roastery,"Milwaukee, Wisconsin, United States"
2022-10-21,"Saintseneca, Yowler",X-Ray Arcade,"Cudahy, Wisconsin, United States"
2022-09-17,"Bathtub Cig, The Nunnery, J.E. Sunde",Root Note Coffee,"La Crosse, Wisconsin, United States"
2022-09-16,"Field Report, Dosh, Dead Horses, Disq, GGOOLLDD, Why Not, Courtney Hartman, J.E. Sunde, Chris Koza, The Shackletons, Tugg, Good Morning Bedlam, Sleepy Gaucho, The People Brothers Band, Kiss the Tiger, Immortal Girlfriend, Seasaw, Kat and the Hurricane, Killusonline, Horace Greene, Mike Munson, Johanna Rose, Bathtub Cig, Luke Callen, glowingtide, The Gentlemen's Anti-Temperance League, The Violet Nines, Muun Bato, Caley Conway, Luke Hendrickson, The Immaculate Beings, Sweat Boys, St. Anthony Mann, theyself, Telethon (WI, USA), FènixDion, Bad Posture Club, Under Violet, Loud Mouth Brass, Jae Havoc, Ellie Jackson, The Nunnery (US), LASKA (US), WRST, RiGBY (MN), Audrey Robinson",Mid West Music Fest La Crosse 2022,"La Crosse, WI, US"
2022-09-14,Whitney,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
2022-09-08,"Steve 'n' Seagulls, Volk",Shank Hall,"Milwaukee, Wisconsin, United States"
2022-09-02,"Snail Mail, Momma, Hotline TNT",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2022-08-27,"Monica Martin, Jake Sherman",The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2022-08-25,Futurebirds,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
2022-08-19,Bodega,Cactus Club,"Milwaukee, Wisconsin, United States"
2022-08-13,Wave Chapelle,Marcus Center Bradley Pavillion,"Milwaukee, Wisconsin, United States"
