Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6wj7wjtegmkziorQ2tt5Pz,"Dance Now (feat. Kenny Mason)","The Forever Story","JID,Kenny Mason",2022-08-26,227555,0,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T01:43:57Z,"","Dreamville/Interscope",0.782,0.476,1,-10.972,1,0.239,0.0942,0.000022,0.162,0.27,135.024,4
3JKFWrIPoTGasqvrAn3u3D,"Robot Writes A Love Song","THE UNRAVELING OF PUPTHEBAND","PUP",2022-04-01,216013,0,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T02:10:13Z,"midwest emo,emo,punk","Rise Records",0.516,0.952,1,-3.675,1,0.0659,0.0066,0.00000599,0.0896,0.388,112.995,4
0atclF6Pp5MffEEi7CSFlE,"Bad Love","Blue Skies","Dehd",2022-05-27,150824,46,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T01:47:48Z,"","Fat Possum",0.623,0.766,4,-7.445,1,0.0531,0.103,0.0193,0.158,0.55,153.15,4
1q8DwZtQen5fvyB7cKbShC,"Walkin","Melt My Eyez See Your Future","Denzel Curry",2022-03-25,280000,62,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T01:48:05Z,"punk rap","Loma Vista Recordings",0.557,0.654,11,-7.201,0,0.196,0.134,0,0.291,0.386,135.983,4
6p2mMg678Te1fVZEZHKwiF,"ILYSM","ILYSM","Wild Pink",2022-10-14,379600,14,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T01:49:29Z,"","Royal Mountain Records",0.653,0.673,4,-9.499,1,0.0441,0.0584,0.705,0.107,0.295,110.002,4
0GSYRDukHB9xnglrkEjlUg,"How I'm Feeling","World Full Of Worry","Peaness",2022-05-06,227895,7,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T01:50:32Z,"","Totally Snick Records",0.725,0.663,4,-6.304,1,0.041,0.0285,0.00127,0.236,0.794,136.046,4
0KInEb5oRw5DSWG5igi9CF,"Doers","Broken Equipment","BODEGA",2022-03-11,199447,0,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T01:51:22Z,"post-punk","What's Your Rupture?",0.536,0.763,10,-6.429,0,0.0709,0.00473,0.00000434,0.0662,0.647,177.99,4
2wymwkZMbYWNzr1kY69Aze,"Fever","Warm Chris","Aldous Harding",2022-03-25,257293,30,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T01:52:55Z,"chamber pop","4AD",0.604,0.217,5,-8.578,1,0.0443,0.625,0.000176,0.108,0.406,173.717,4
7gL1H16WocPdl3GeAS5ThY,"In ár gCroíthe go deo","Skinty Fia","Fontaines D.C.",2022-04-22,359066,0,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T01:54:26Z,"post-punk","PTKF",0.394,0.673,7,-6.023,1,0.0384,0.00377,0,0.119,0.0296,145.055,4
7xxeSJJ25Gu6dRBv8v7tKK,"Anti-glory","Versions of Modern Performance","Horsegirl",2022-06-03,210640,38,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T01:55:48Z,"","Matador",0.446,0.878,9,-7.164,1,0.054,0.0181,0.697,0.0823,0.432,135.462,4
7rfoxuUYSfGSuGjRoTq4qH,"Mona","New Mythology","Nick Mulvey",2022-06-10,202733,36,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T01:57:47Z,"","Fiction",0.754,0.413,8,-8.498,0,0.0465,0.694,0.0000541,0.108,0.671,98.008,4
6wkcCWy0qkFbIpHNh6dBg5,"Hood2Hood","King's Disease III","Nas",2023-04-28,180704,32,mmr4r23xnc6oh1c77lysfbqg4,2022-11-26T02:01:08Z,"east coast hip hop,hip hop","Mass Appeal",0.665,0.829,1,-3.669,1,0.183,0.0323,0,0.335,0.48,97.191,4
