Start Date,Location,Bands,Is Local,Ranking,Rating,Paid,Discount,dist_from_home,drive_time,Scrobbles Before Concert,Album Name,Release Date,Tier,Waited,Venue Location,Full Address,Latitude,Longitude
2024-01-13,"Milwaukee, Wisconsin, United States","Lady Bird, Max Niemann, Jacob Slade, Maximiano, Jack Eyke",1,2,5.0,1,Unknown,5.1,12,120,Soft Spoken,2023-10-13,Top 25,92 day(s),"Pool Studios, Milwaukee, Wisconsin, United States","3728 N Fratney St, Milwaukee, WI 53212",43.0845801,-87.9001178
2024-01-18,"Milwaukee, Wisconsin, United States",Meg Myers,0,56,3.0,0,Rave Contest,4.9,10,8,,,,,"The Rave, Milwaukee, Wisconsin, United States","2401 W Wisconsin Ave, Milwaukee, WI 53233",43.0379219,-87.9433191
2024-02-03,"Milwaukee, Wisconsin, United States","Wave Chapelle, Dak Dubois, Scam Likely, Sleepy Groucho",1,28,4.0,1,Unknown,7.3,13,465,Can't Stop Won't Stop,2023-05-05,Top 100,274 day(s),"88Nine Radio Milwaukee Studios, Milwaukee, Wisconsin, United States","220 E Pittsburgh Ave, Milwaukee, WI 53204",43.0296831,-87.9093341
2024-02-08,"Milwaukee, Wisconsin, United States","Willi Carlisle, Golden Shoals",0,1,5.0,1,Unknown,9.5,15,53,Critterland,2024-01-26,Top 5,13 day(s),"Cactus Club, Milwaukee, Wisconsin, United States","2496 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202
2024-02-09,"Milwaukee, Wisconsin, United States","Abraham Alexander, Black Violin",0,50,3.5,0,Ushered,4.8,14,0,,,,,"Marcus Center for the Performing Arts, Milwaukee, Wisconsin, United States","930 N Water St, Milwaukee, WI 53202",43.0426556,-87.9104279
2024-02-12,"Milwaukee, Wisconsin, United States","Briston Maroney, Phoebe Go",0,43,3.5,0,Street Team,4.5,13,93,Sunflower,2021-04-09,Top 50,1039 day(s),"Turner Hall Ballroom, Milwaukee, Wisconsin, United States","1040 N Vel R. Phillips Ave, Milwaukee, WI 53203",43.0379086,-87.9160468
2024-02-20,"Milwaukee, Wisconsin, United States","Wave Chapelle, ADORNER",1,47,3.5,0,Street Team,5.5,16,464,Can't Stop Won't Stop,2023-05-05,Top 100,291 day(s),"Vivarium, Milwaukee, Wisconsin, United States","1818 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826
2024-02-22,"Milwaukee, Wisconsin, United States","Molly Grace, The Wonderlands (US)",0,33,4.0,1,Unknown,5.5,16,30,,,,,"Vivarium, Milwaukee, Wisconsin, United States","1820 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826
2024-03-01,"Milwaukee, Wisconsin, United States","Diet Lite, Motel Breakfast, Ladybird",1,45,3.5,0,Street Team,5.5,16,35,Amy Come on Home,2024-05-17,Top 100,,"Vivarium, Milwaukee, Wisconsin, United States","1822 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826
2024-03-02,"Milwaukee, Wisconsin, United States",Cat Power,0,52,3.0,0,Street Team,4.9,14,64,,,,,"Pabst Theater, Milwaukee, Wisconsin, United States","144 E Wells St, Milwaukee, WI 53202",43.0411402,-87.9104618
