Start Date,Ranking,Bands,Venue,Location,Rating,Paid,Discount,capacity,Is Local,dist_from_home,drive_time,Scrobbles Before Concert,Album Name,Release Date,Tier,Waited,Venue Location,Full Address,Latitude,Longitude,Venue_Bands_Complete,LongTerm_Start Date,LongTerm_Bands,LongTerm_Venue,LongTerm_Location
2024-02-08,1.0,"Willi Carlisle, Golden Shoals",Cactus Club,"Milwaukee, Wisconsin, United States",5.0,1.0,,150.0,0.0,9.5,15.0,53.0,Critterland,2024-01-26,Top 5,13 day(s),"Cactus Club, Milwaukee, Wisconsin, United States","2496 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202,"Willi Carlisle, Golden Shoals, Barely Civil, Overhand, Known Moons, Magazine Beach, Katy Kirby, Mei Semones, Maximiano, J.E. Sunde, Caley Conway, Bats, Maximiano, Long Mama, King Courteen, The Nunnery, Dosh, Luke Callen, Maximiano, Johanna Rose, Ellie Jackson, Bitch Creek",2024-02-08,"Willi Carlisle, Golden Shoals",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-01-13,2.0,"Lady Bird, Max Niemann, Jacob Slade, Maximiano, Jack Eyke",Pool Studios,"Milwaukee, Wisconsin, United States",5.0,1.0,,250.0,1.0,5.1,12.0,120.0,Soft Spoken,2023-10-13,Top 25,92 day(s),"Pool Studios, Milwaukee, Wisconsin, United States","3728 N Fratney St, Milwaukee, WI 53212",43.0845801,-87.9001178,"Lady Bird, Max Niemann, Jacob Slade, Maximiano, Jack Eyke",2024-01-13,"Lady Bird, Max Niemann, Jacob Slade, Maximiano, Jack Eyke",Pool Studios,"Milwaukee, Wisconsin, United States"
2024-03-31,3.0,"Barely Civil, Magazine Beach, Overhand, Known Moons",Cactus Club,"Milwaukee, Wisconsin, United States",5.0,1.0,,150.0,1.0,9.5,15.0,78.0,I'd Say I'm Not Fine,2024-03-22,Top 10,9 day(s),"Cactus Club, Milwaukee, Wisconsin, United States","2498 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202,"Willi Carlisle, Golden Shoals, Barely Civil, Overhand, Known Moons, Magazine Beach, Katy Kirby, Mei Semones, Maximiano, J.E. Sunde, Caley Conway, Bats, Maximiano, Long Mama, King Courteen, The Nunnery, Dosh, Luke Callen, Maximiano, Johanna Rose, Ellie Jackson, Bitch Creek",2024-03-31,"Barely Civil, Magazine Beach, Overhand, Known Moons",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-04-20,4.0,Friko,Liliput Records,"Milwaukee, Wisconsin, United States",5.0,0.0,Record Store Day,120.0,0.0,5.3,16.0,43.0,"Where we've been, Where we go from here",2024-02-16,Top 5,64 day(s),"Liliput Records, Milwaukee, Wisconsin, United States","1669 N Farwell Ave, Milwaukee, WI 53202",43.0527527,-87.8929397,Friko,2024-04-20,Friko,Liliput Records,"Milwaukee, Wisconsin, United States"
2024-08-02,5.0,"J.E. Sunde, Caley Conway",Cactus Club,"Milwaukee, Wisconsin, United States",5.0,1.0,,150.0,1.0,9.5,15.0,86.0,,,,,"Cactus Club, Milwaukee, Wisconsin, United States","2505 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202,"Willi Carlisle, Golden Shoals, Barely Civil, Overhand, Known Moons, Magazine Beach, Katy Kirby, Mei Semones, Maximiano, J.E. Sunde, Caley Conway, Bats, Maximiano, Long Mama, King Courteen, The Nunnery, Dosh, Luke Callen, Maximiano, Johanna Rose, Ellie Jackson, Bitch Creek",2024-08-02,"J.E. Sunde, Caley Conway",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-07-05,6.0,Local Natives,Summerfest,"Milwaukee, Wisconsin, United States",5.0,1.0,,10000.0,0.0,7.1,11.0,303.0,Time Will Wait For No One,2023-07-07,Top 50,364 day(s),"Summerfest, Milwaukee, Wisconsin, United States","200 N Harbor Dr, Milwaukee, WI 53202",43.0310609,-87.8995157,"Charlotte Cardin, Taylor Bennett, Brigitte Calls Me Baby, grouptherapy., Say She She, Wave Chapelle, Ellie Jackson, Reyna, Local Natives, Amy Grant",06/21/2024,Local Natives,Summerfest,"Milwaukee, Wisconsin, United States"
2024-11-09,7.0,"Haley Heynderickx, Lily Breshears",Vivarium,"Milwaukee, Wisconsin, United States",5.0,0.0,Street Team,450.0,0.0,5.5,16.0,134.0,Seed of a Seed,2024-11-01,Top 25,8 day(s),"Vivarium, Milwaukee, Wisconsin, United States","1842 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826,"Wave Chapelle, ADORNER, Molly Grace, The Wonderlands (US), Diet Lite, Motel Breakfast, Ladybird, Sun June, Wild Pink, Sinai Vessel, Real Estate, Marina Allen, Durry, Lunar Moth, Reyna, Vic and Gab, Eliza Hanson, Maggie Rose, Dessa, Wave Chapelle, Kaitlin Butts, Angel White, Marika Hackman, Art School Girlfriend, Haley Heynderickx, Lily Breshears",2024-11-09,"Haley Heynderickx, Lily Breshears",Vivarium,"Milwaukee, Wisconsin, United States"
2024-09-07,8.0,"Maximiano, Long Mama, King Courteen",Cactus Club,"Milwaukee, Wisconsin, United States",5.0,1.0,,150.0,1.0,9.5,15.0,45.0,The Real Truth,2024-09-07,Top 25,0 day(s),"Cactus Club, Milwaukee, Wisconsin, United States","2508 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202,"Willi Carlisle, Golden Shoals, Barely Civil, Overhand, Known Moons, Magazine Beach, Katy Kirby, Mei Semones, Maximiano, J.E. Sunde, Caley Conway, Bats, Maximiano, Long Mama, King Courteen, The Nunnery, Dosh, Luke Callen, Maximiano, Johanna Rose, Ellie Jackson, Bitch Creek",2024-09-07,"Maximiano, Long Mama, King Courteen",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-04-05,9.0,"The Last Dinner Party, Miss Grit",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",4.5,0.0,88nine Call-in,987.0,0.0,4.5,13.0,235.0,Prelude to Ecstasy,2024-02-02,Top 50,63 day(s),"Turner Hall Ballroom, Milwaukee, Wisconsin, United States","1042 N Vel R. Phillips Ave, Milwaukee, WI 53203",43.0379086,-87.9160468,"Briston Maroney, Phoebe Go, The Last Dinner Party, Miss Grit, The Mountain Goats, Katy Kirby, Saint Motel, Gibbz, Belle and Sebastian, Haley Henderickx",2024-04-05,"The Last Dinner Party, Miss Grit",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2024-09-14,10.0,"Charly Bliss, Raffaella",X-Ray Arcade,"Cudahy, Wisconsin, United States",4.5,1.0,,275.0,1.0,13.8,21.0,6.0,,,,,"X-Ray Arcade, Cudahy, Wisconsin, United States","5036 S Packard Ave, Cudahy, WI 53110",42.9529484,-87.859709,"Charlie Bliss, Raffaella",2024-09-14,"Charlie Bliss, Raffaella",X-Ray Arcade,"Cudahy, Wisconsin, United States"
